name,category,latitude,longitude,distance_from_center_km
,amenity,48.8613589,2.2895506,0.5006954708855763
,amenity,48.8613757,2.2893634,0.5120099550099557
,amenity,48.8613886,2.2897382,0.4931258481430324
,amenity,48.8614008,2.2893441,0.51494265808284
,amenity,48.8614301,2.2897262,0.49701304079078906
,amenity,48.8614289,2.2893337,0.5176260179869209
,amenity,48.8614375,2.2896632,0.5008624711624989
,amenity,48.8614303,2.289424,0.5128997560459455
Taureau et Daim,tourism,48.8614443,2.2892128,0.525311439129337
,amenity,48.8614569,2.289333,0.5197883781875897
,amenity,48.8614859,2.2893444,0.5213921470513222
,amenity,48.8615086,2.2895426,0.5127124790649105
,amenity,48.8615509,2.2896317,0.5114497147666853
L'Homme,tourism,48.8615587,2.2891173,0.5390835171401981
,amenity,48.8615627,2.2895858,0.5147435182474064
,amenity,48.8615655,2.2894571,0.5216226833273673
,amenity,48.8615688,2.2894995,0.5196798032041046
,amenity,48.861569,2.2895426,0.5174672820287979
,amenity,48.8615734,2.2896657,0.5115096453078813
,amenity,48.8615959,2.2896998,0.5115889222815294
,amenity,48.8616108,2.2898138,0.5070818003574769
,amenity,48.8616184,2.2897338,0.5116976755916149
Chevaux et Chien,tourism,48.8616527,2.2895251,0.525019415190309
,amenity,48.8616409,2.2897679,0.5118258219003796
La Femme,tourism,48.8617122,2.2893496,0.5387492891701373
La Bonbonnière de Marie,amenity,48.8555796,2.3008017,0.5501287789960743
,amenity,48.856039,2.2944978,0.24697964385284168
,amenity,48.8560786,2.2945588,0.24261335560655226
,amenity,48.8567213,2.2923205,0.2342407243633866
,amenity,48.8568576,2.2939582,0.1609446081307096
,amenity,48.8608531,2.2962135,0.3145817328513441
,amenity,48.8610226,2.2965243,0.34123534758111634
,amenity,48.8613379,2.2971915,0.3951613922717627
Cours Fidès (École secondaire privée),amenity,48.8598218,2.2960508,0.20762682057129345
,amenity,48.8572052,2.2975105,0.2500777840443365
Café Fleur,amenity,48.8546868,2.2950925,0.3997204480922971
Volkswagen,shop,48.8542319,2.2957885,0.4578030186299931
,amenity,48.8551063,2.2945535,0.35072375363681385
Salle de Combat,amenity,48.8557252,2.2908552,0.3886029513678946
,leisure,48.8565,2.29044,0.3564955007998752
SPOT24,tourism,48.8556362,2.2902284,0.4282679081266271
Le Bistrot de la Tour,amenity,48.8544458,2.2891916,0.5759196432863452
,shop,48.8583306,2.2936654,0.06178852965806617
,amenity,48.8582474,2.2944389,0.004736092597615297
Bureau de Gustave Eiffel,tourism,48.8582685,2.2945812,0.005991189485929285
Paris Tour Eiffel,amenity,48.8579662,2.2945015,0.032661559174236916
